fetched_utc,api_ts_utc,id,name,bact,viral,algae,samlet,forecast,confirm_reason,data_confidence
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW16,SØVANG,0,0,0.3401,0.3401,0.5307,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1906,TEGLHOLM BRYGGE BADEZONE,0.9911,0.892,0.2439,0.9911,1,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW24,CHARLOTTENLUND STRANDPARK,0.2694,0.4835,0.2439,0.4835,1,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW14,AMAGER SYDSTRAND,0,0,0.3401,0.3401,0.5307,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1526,"AMAGER STRANDPARK, ØRESUND",0.0923,0.1486,0.2439,0.2439,1,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1578,SLUSEHOLMEN HAVNEBAD,0.8208,0.8382,0.2439,0.8382,1,,hoej
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1667,KALVEBOD BØLGE BADEZONE,0.2235,0.199,0.2439,0.2439,1,,hoej
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW4,"KBS, UD FOR HYLDETANGEN",0.6425,0.6978,0.2085,0.6978,0.6682,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1464,"VALLENSBÆK STRAND, VED SKRUBBEN",,,,,,all-stormwater,hoej
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1590,LODSPARKEN,0.4594,0.6922,0.2439,0.6922,1,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW1593,TAARBÆK HAVN,0.2848,0.5035,0.2439,0.5035,1,,middel
2026-09-26T05:46:56Z,2026-09-26T05:37:50Z,DKBW8,DRAGØR NORDSTRAND,0.1148,0.438,0.2439,0.438,1,,middel
